Date,Open,Change %
2019-01-26,3572,-0.03
2019-01-25,3574,-0.06
2019-01-24,3561,0.36
2019-01-23,3580,-0.52
2019-01-22,3536,1.23
2019-01-21,3542,-0.16
2019-01-20,3676,-3.68
2019-01-19,3605,2.0
2019-01-18,3626,-0.57
2019-01-17,3588,1.07
2019-01-16,3570,0.47
2019-01-15,3637,-1.84
2019-01-14,3490,4.24
2019-01-13,3597,-2.98
2019-01-12,3616,-0.53
2019-01-11,3603,0.35
2019-01-10,3978,-9.41
2019-01-09,3971,0.17
2019-01-08,3985,-0.37
2019-01-07,4004,-0.45
2019-01-06,3785,5.78
2019-01-05,3802,-0.46
2019-01-04,3780,0.6
2019-01-03,3874,-2.42
2019-01-02,3809,1.69
2019-01-01,3709,2.69
2018-12-31,3815,-2.77
2018-12-30,3708,2.92
2018-12-29,3861,-4.01
2018-12-28,3587,7.66
2018-12-27,3793,-5.45
2018-12-26,3762,0.83
2018-12-25,4025,-6.55
2018-12-24,3944,2.07
2018-12-23,3964,-0.5
2018-12-22,3850,2.95
2018-12-21,4075,-5.52
2018-12-20,3687,10.55
2018-12-19,3668,0.52
2018-12-18,3526,4.02
2018-12-17,3248,8.57
2018-12-16,3228,0.6
2018-12-15,3247,-0.59
2018-12-14,3315,-2.04
2018-12-13,3466,-4.35
2018-12-12,3390,1.72
2018-12-11,3460,-1.53
2018-12-10,3566,-3.0
2018-12-09,3430,4.0
2018-12-08,3422,0.24
2018-12-07,3508,-2.46
2018-12-06,3771,-6.97
2018-12-05,3958,-4.72
2018-12-04,3899,1.56
2018-12-03,4160,-6.31
2018-12-02,4196,-0.85
2018-12-01,4038,3.87
2018-11-30,4296,-5.98
2018-11-29,4265,0.73
2018-11-28,3866,10.32
2018-11-27,3840,0.77
2018-11-26,4061,-5.54
2018-11-25,3920,3.62
2018-11-24,4397,-10.86
2018-11-23,4360,0.96
2018-11-22,4646,-6.09
2018-11-21,4523,2.52
2018-11-20,4883,-7.36
2018-11-19,5660,-13.69
2018-11-18,5621,0.65
2018-11-17,5636,-0.26
2018-11-16,5723,-1.45
2018-11-15,5854,-2.11
2018-11-14,6428,-9.13
2018-11-13,6435,-0.09
2018-11-12,6445,-0.17
2018-11-11,6427,0.3
2018-11-10,6411,0.24
2018-11-09,6473,-0.96
2018-11-08,6565,-1.39
2018-11-07,6503,0.96
2018-11-06,6460,0.67
2018-11-05,6478,-0.29
2018-11-04,6386,1.44
2018-11-03,6424,-0.6
2018-11-02,6400,0.38
2018-11-01,6365,0.54
2018-10-31,6327,0.64
2018-10-30,6336,-0.15
2018-10-29,6486,-2.33
2018-10-28,6494,-0.12
2018-10-27,6510,-0.24
2018-10-26,6507,0.05
2018-10-25,6532,-0.36
2018-10-24,6531,0.03
2018-10-23,6558,-0.41
2018-10-22,6583,-0.41
2018-10-21,6575,0.16
2018-10-20,6511,0.92
2018-10-19,6576,-0.94
2018-10-18,6690,-1.68
2018-10-17,6718,-0.28
2018-10-16,6712,0.08
2018-10-15,6326,5.9
2018-10-14,6321,0.08
2018-10-13,6291,0.48
2018-10-12,6239,0.84
2018-10-11,6618,-5.72
2018-10-10,6650,-0.49
2018-10-09,6669,-0.28
2018-10-08,6611,0.89
2018-10-07,6596,0.22
2018-10-06,6639,-0.65
2018-10-05,6584,0.83
2018-10-04,6509,1.17
2018-10-03,6549,-0.64
2018-10-02,6608,-0.88
2018-10-01,6635,-0.41
2018-09-30,6603,0.47
2018-09-29,6633,-0.48
2018-09-28,6685,-0.79
2018-09-27,6463,3.42
2018-09-26,6443,0.36
2018-09-25,6590,-2.11
2018-09-24,6713,-1.79
2018-09-23,6729,-0.38
2018-09-22,6766,-0.55
2018-09-21,6490,4.28
2018-09-20,6390,1.55
2018-09-19,6342,0.76
2018-09-18,6251,1.44
2018-09-17,6500,-3.82
2018-09-16,6519,-0.29
2018-09-15,6482,0.54
2018-09-14,6482,0.01
2018-09-13,6338,2.29
2018-09-12,6293,0.7
2018-09-11,6320,-0.43
2018-09-10,6238,1.32
2018-09-09,6184,0.88
2018-09-08,6390,-3.23
2018-09-07,6514,-1.89
2018-09-06,6706,-2.87
2018-09-05,7377,-9.09
2018-09-04,7264,1.56
2018-09-03,7289,-0.41
2018-09-02,7189,1.45
2018-09-01,7032,2.21
2018-08-31,6993,0.57
2018-08-30,7029,-0.5
2018-08-29,7074,-0.64
2018-08-28,6897,2.57
2018-08-27,6712,2.75
2018-08-26,6734,-0.33
2018-08-25,6680,0.81
2018-08-24,6521,2.44
2018-08-23,6359,2.54
2018-08-22,6482,-1.89
2018-08-21,6268,3.41
2018-08-20,6474,-3.29
2018-08-19,6379,1.61
2018-08-18,6581,-3.08
2018-08-17,6306,4.36
2018-08-16,6256,0.8
2018-08-15,6190,1.08
2018-08-14,6255,-1.04
2018-08-13,6313,-0.91
2018-08-12,6232,1.31
2018-08-11,6152,1.29
2018-08-10,6539,-5.91
2018-08-09,6283,4.06
2018-08-08,6725,-6.56
2018-08-07,6943,-3.15
2018-08-06,7027,-1.19
2018-08-05,7014,0.18
2018-08-04,7418,-5.46
2018-08-03,7535,-1.55
2018-08-02,7606,-0.93
2018-08-01,7728,-1.59
2018-07-31,8176,-5.48
2018-07-30,8214,-0.47
2018-07-29,8231,-0.22
2018-07-28,8186,0.57
2018-07-27,7936,3.15
2018-07-26,8173,-2.9
2018-07-25,8404,-2.78
2018-07-24,7723,8.86
2018-07-23,7412,4.19
2018-07-22,7409,0.05
2018-07-21,7339,0.95
2018-07-20,7477,-1.85
2018-07-19,7383,1.27
2018-07-18,7321,0.84
2018-07-17,6729,8.8
2018-07-16,6362,5.77
2018-07-15,6254,1.73
2018-07-14,6229,0.4
2018-07-13,6250,-0.33
2018-07-12,6389,-2.17
2018-07-11,6307,1.3
2018-07-10,6668,-5.4
2018-07-09,6715,-0.71
2018-07-08,6765,-0.75
2018-07-07,6617,2.23
2018-07-06,6546,1.09
2018-07-05,6598,-0.79
2018-07-04,6513,1.3
2018-07-03,6618,-1.6
2018-07-02,6349,3.97
2018-07-01,6398,-0.5
2018-06-30,6213,2.99
2018-06-29,5883,5.61
2018-06-28,6154,-4.41
2018-06-27,6081,1.2
2018-06-26,6256,-2.79
2018-06-25,6155,1.66
2018-06-24,6167,-0.21
2018-06-23,6055,1.84
2018-06-22,6728,-9.99
2018-06-21,6765,-0.55
2018-06-20,6752,0.19
2018-06-19,6719,0.49
2018-06-18,6460,4.02
2018-06-17,6505,-0.7
2018-06-16,6410,1.49
2018-06-15,6647,-3.56
2018-06-14,6312,5.3
2018-06-13,6558,-3.75
2018-06-12,6885,-4.76
2018-06-11,6775,1.64
2018-06-10,7515,-9.85
2018-06-09,7622,-1.4
2018-06-08,7697,-0.98
2018-06-07,7661,0.48
2018-06-06,7631,0.39
2018-06-05,7507,1.69
2018-06-04,7729,-2.91
2018-06-03,7646,1.08
2018-06-02,7530,1.54
2018-06-01,7502,0.38
2018-05-31,7400,1.39
2018-05-30,7469,-0.91
2018-05-29,7119,4.89
2018-05-28,7367,-3.36
2018-05-27,7361,0.07
2018-05-26,7478,-1.56
2018-05-25,7593,-1.52
2018-05-24,7512,1.07
2018-05-23,8005,-6.17
2018-05-22,8403,-4.73
2018-05-21,8529,-1.47
2018-05-20,8243,3.44
2018-05-19,8244,-0.01
2018-05-18,8064,2.27
2018-05-17,8344,-3.37
2018-05-16,8477,-1.56
2018-05-15,8674,-2.27
2018-05-14,8693,-0.22
2018-05-13,8489,2.77
2018-05-12,8409,0.61
